类别,模块,缺口项,优先级,建议
前端缺后端,文档管理,文档上传与解析管线未接真实接口,P0,实现 /api/documents/upload 并返回 doc_id 与初始状态
前端缺后端,文档管理,文档列表/筛选/分页仍为本地数据,P0,实现 /api/documents 并支持 status/keyword 分页
前端缺后端,文档详情,文档详情/结构树/证据/图谱依赖 mock,P0,提供 /api/documents/{id} /tree /graph /evidence
前端缺后端,文档管理,文档归档/删除缺少服务端落库,P1,提供 DELETE /api/documents/{id} 与 /archive
前端缺后端,索引管理,索引构建触发与运行记录缺失,P0,提供 /api/index/build 与 /api/index/runs
前端缺后端,索引管理,索引状态与版本覆盖率缺失,P0,提供 /api/index/status
前端缺后端,问答工作台,真实检索与答案生成接口缺失,P0,提供 /api/qa/query 返回答案与阶段耗时
前端缺后端,证据链路,答案证据链与图谱接口缺失,P1,提供 /api/answers/{id}/evidence 与 /graph
前端缺后端,反馈,反馈提交/查询未落到后端,P1,提供 /api/feedback 写入与查询
前端缺后端,评测与系统,评测任务与健康队列接口缺失,P1,提供 /api/eval/* 与 /api/system/*
后端缺前端,基础设施,API 客户端封装未完成,P0,实现 baseUrl/timeout/retry/拦截统一处理
后端缺前端,数据契约,字段映射与类型校验仍为 mock,P0,补齐 DTO/类型守卫并与后端字段对齐
后端缺前端,文档管理,上传进度/失败重试/取消未实现,P1,加入进度条与可取消上传逻辑
后端缺前端,文档管理,分页与大列表虚拟滚动未实现,P1,对接后端分页并加入虚拟滚动
后端缺前端,错误处理,统一错误提示与重试入口未实现,P0,建立全局错误边界与重试按钮
后端缺前端,索引管理,构建进度轮询与状态订阅未实现,P1,轮询 /api/index/status 并更新步骤条
后端缺前端,问答工作台,阶段进度与流式答案未接入,P1,支持 SSE/流式展示与中断重试
后端缺前端,证据图谱,大规模图谱渲染优化未实现,P1,加入降采样与视图分页
后端缺前端,证据图谱,图谱类型口径统一适配层缺失,P0,统一 node.type 并建立映射层
后端缺前端,反馈,反馈历史持久化与分页未实现,P1,对接 /api/feedback 并支持筛选
后端缺前端,评测,评测任务历史与报告下载未接入,P1,对接 /api/eval/tasks 与 /report
后端缺前端,系统状态,健康检查轮询与告警未实现,P1,定时拉取 /health /ready /api/system/status
后端缺前端,配置安全,LLM 配置真实保存与测试未接入,P0,对接 /api/llm/config 与 /api/llm/test
后端缺前端,权限体系,角色/权限控制未实现,P2,引入登录与角色路由保护
